iso,Country,Region,Superregion
ALB,Albania,Central Europe,Central and eastern Europe
BGR,Bulgaria,Central Europe,Central and eastern Europe
BIH,Bosnia and Herzegovina,Central Europe,Central and eastern Europe
CZE,Czechia,Central Europe,Central and eastern Europe
HRV,Croatia,Central Europe,Central and eastern Europe
HUN,Hungary,Central Europe,Central and eastern Europe
MKD,North Macedonia,Central Europe,Central and eastern Europe
MNE,Montenegro,Central Europe,Central and eastern Europe
POL,Poland,Central Europe,Central and eastern Europe
ROU,Romania,Central Europe,Central and eastern Europe
SRB,Serbia,Central Europe,Central and eastern Europe
SVK,Slovakia,Central Europe,Central and eastern Europe
SVN,Slovenia,Central Europe,Central and eastern Europe
BLR,Belarus,Eastern Europe,Central and eastern Europe
EST,Estonia,Eastern Europe,Central and eastern Europe
LTU,Lithuania,Eastern Europe,Central and eastern Europe
LVA,Latvia,Eastern Europe,Central and eastern Europe
MDA,Moldova,Eastern Europe,Central and eastern Europe
RUS,Russian Federation,Eastern Europe,Central and eastern Europe
UKR,Ukraine,Eastern Europe,Central and eastern Europe
ARM,Armenia,Central Asia,"Central Asia, Middle East and north Africa"
AZE,Azerbaijan,Central Asia,"Central Asia, Middle East and north Africa"
GEO,Georgia,Central Asia,"Central Asia, Middle East and north Africa"
KAZ,Kazakhstan,Central Asia,"Central Asia, Middle East and north Africa"
KGZ,Kyrgyzstan,Central Asia,"Central Asia, Middle East and north Africa"
MNG,Mongolia,Central Asia,"Central Asia, Middle East and north Africa"
TJK,Tajikistan,Central Asia,"Central Asia, Middle East and north Africa"
TKM,Turkmenistan,Central Asia,"Central Asia, Middle East and north Africa"
UZB,Uzbekistan,Central Asia,"Central Asia, Middle East and north Africa"
ARE,United Arab Emirates,Middle East and north Africa,"Central Asia, Middle East and north Africa"
BHR,Bahrain,Middle East and north Africa,"Central Asia, Middle East and north Africa"
DZA,Algeria,Middle East and north Africa,"Central Asia, Middle East and north Africa"
EGY,Egypt,Middle East and north Africa,"Central Asia, Middle East and north Africa"
IRN,Iran,Middle East and north Africa,"Central Asia, Middle East and north Africa"
IRQ,Iraq,Middle East and north Africa,"Central Asia, Middle East and north Africa"
JOR,Jordan,Middle East and north Africa,"Central Asia, Middle East and north Africa"
KWT,Kuwait,Middle East and north Africa,"Central Asia, Middle East and north Africa"
LBN,Lebanon,Middle East and north Africa,"Central Asia, Middle East and north Africa"
LBY,Libya,Middle East and north Africa,"Central Asia, Middle East and north Africa"
MAR,Morocco,Middle East and north Africa,"Central Asia, Middle East and north Africa"
OMN,Oman,Middle East and north Africa,"Central Asia, Middle East and north Africa"
PSE,State of Palestine,Middle East and north Africa,"Central Asia, Middle East and north Africa"
QAT,Qatar,Middle East and north Africa,"Central Asia, Middle East and north Africa"
SAU,Saudi Arabia,Middle East and north Africa,"Central Asia, Middle East and north Africa"
SYR,Syrian Arab Republic,Middle East and north Africa,"Central Asia, Middle East and north Africa"
TUN,Tunisia,Middle East and north Africa,"Central Asia, Middle East and north Africa"
TUR,Turkiye,Middle East and north Africa,"Central Asia, Middle East and north Africa"
YEM,Yemen,Middle East and north Africa,"Central Asia, Middle East and north Africa"
